category	NA	metadata	definition	reference of definition\[<url_to_definition>\]	expected unit of measurement	example	sources( where this or similar matadata field is mentioned)	NA
plant-associated microbiome	NA	Microbial ID	Taxonomy and/or culture source, if available. Expected_value: [\[NCBI taxonomy ID\]](https://www.ncbi.nlm.nih.gov/taxonomy)	NA	NA	e.g. E. coli [\[NCBI:txid562\]](https://www.ncbi.xyz/Taxonomy/Browser/wwwtax.cgi?id=562)	[ ENA Marine Microalgae Checklist; Checklist: ERC000043 ](https://www.ebi.ac.uk/ena/browser/view/ERC000043)	NA
plant-associated microbiome	NA	Microbial isolate	Microbial isolate cultured?: Y/N	NA	NA	NA	NA	NA
plant-associated microbiome	NA	Culture substrate	This field accepts terms listed under culture medium [\[OBI:0000079\]](https://www.ebi.ac.uk/ols4/ontologies/mco/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FOBI_0000079?lang=en). If the proper descriptor is not listed please use text to describe the culture medium	NA	NA	e.g. minimal defined medium [\[MCO:0000881\]](https://www.ebi.ac.uk/ols4/ontologies/mco/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMCO_0000881?lang=en)	MSI-ECWSG ([Morrison et al. (2007)](https://doi.org/10.1007/s11306-007-0067-1))	NA
plant-associated microbiome	Host metadata	Host name OR host_taxid	Scientific name [\[NCBI taxonomy ID\]](https://www.ncbi.nlm.nih.gov/taxonomy)	NA	NA	e.g. Arabidopsis thaliana  [\[NCBI:txid3702\]](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?name=Arabidopsis+thaliana)	MSI-ECWSG ([Morrison et al. (2007)](https://doi.org/10.1007/s11306-007-0067-1))	NA
plant-associated microbiome	NA	host_common_name	Common name of the host	NA	NA	e.g. thale cress	[ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/)	NA
plant-associated microbiome	NA	host_height OR host_length	Height of host or length of host	NA	NA	e.g. 177 cm	[ GSC MIxS: AgricultureMIMS ](https://genomicsstandardsconsortium.github.io/mixs/AgricultureMIMS/), [ GSC MIxS: Symbiont-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Symbiont-associatedMIMS/), [ GSC MIxS: Plant-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Plant-associatedMIMS/)	NA
plant-associated microbiome	NA	host_tot_mass	Total mass of host	NA	NA	e.g. 77 kg OR 3568 g	[ GSC MIxS: Plant-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Plant-associatedMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/)	NA
plant-associated microbiome	NA	host_age	Age of host at the time of sampling; relevant scale depends on species and study, e.g. Could be seconds for amoebae or centuries for trees	NA	NA	e.g. year, day, hour	[ GSC MIxS: AgricultureMIMS ](https://genomicsstandardsconsortium.github.io/mixs/AgricultureMIMS/), [ GSC MIxS: Symbiont-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Symbiont-associatedMIMS/), [ GSC MIxS: Plant-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Plant-associatedMIMS/)	NA
plant-associated microbiome	NA	plant_sex	Sex of the reproductive parts on the whole plant	NA	NA	e.g. pistillate, staminate, monoecieous, hermaphrodite	[ GSC MIxS: AgricultureMIMS ](https://genomicsstandardsconsortium.github.io/mixs/AgricultureMIMS/), [ GSC MIxS: Symbiont-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Symbiont-associatedMIMS/), [ GSC MIxS: Plant-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Plant-associatedMIMS/)	NA
plant-associated microbiome	NA	host_symbiont	Name the organism found living in a symbiotic, commensalistic, mutualistic relationship with the host. Expected values: Scientific or common name of species	NA	NA	e.g. Rhizobium tropici	[ GSC MIxS: AgricultureMIMS ](https://genomicsstandardsconsortium.github.io/mixs/AgricultureMIMS/), [ GSC MIxS: Symbiont-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Symbiont-associatedMIMS/), [ GSC MIxS: Plant-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Plant-associatedMIMS/)	NA
plant-associated microbiome	Additional potential plant-associated bio/env considerations	Ecosystem Category	Category list	NA	NA	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA
plant-associated microbiome	NA	Ecosystem Type	Type list	NA	NA	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA
plant-associated microbiome	NA	Ecosystem Subtype	Subtype list	NA	NA	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA
plant-associated microbiome	NA	Specific Ecosystem	Specific ecosystem list	NA	NA	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA
plant-associated microbiome	NA	Habitat	Free text	NA	NA	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA
