category	NA	metadata	definition	reference of definition\[<url_to_definition>\]	expected unit of measurement	example	sources( where this or similar matadata field is mentioned)	NA
animal-associated microbiome	NA	Material conditions	Sample material temp, RH, salinity, pH	e.g. 25 degree Celsius, 25 practical salinity unit, pH 7.2	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/), [ GSC MIxS Human Associated; ENA Checklist: ERC000014 ](https://www.ebi.ac.uk/ena/browser/view/ERC000014), MSI-ECWSG ([Morrison et al. (2007)](https://doi.org/10.1007/s11306-007-0067-1)), [ GSC MIxS: Human-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-associatedMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS: Human-gutMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-gutMIMS/), [ GSC MIxS: Human-oralMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-oralMIMS/), [ GSC MIxS: Human-skinMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-skinMIMS/), [ GSC MIxS: Human-vaginalMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-vaginalMIMS/)	NA	NA	NA
animal-associated microbiome	NA	Microbial ID	Taxonomy and/or culture source, if available. Expected_value: [\[NCBI taxonomy ID\]](https://www.ncbi.nlm.nih.gov/taxonomy)	NA	NA	e.g. E. coli [\[NCBI:txid562\]](https://www.ncbi.xyz/Taxonomy/Browser/wwwtax.cgi?id=562)	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/)	NA
animal-associated microbiome	NA	Microbial isolate	Microbial isolate cultured?: Y/N	NA	NA	NA	NA	NA
animal-associated microbiome	NA	Culture substrate	This field accepts terms listed under culture medium [\[OBI:0000079\]](https://www.ebi.ac.uk/ols4/ontologies/mco/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FOBI_0000079?lang=en). If the proper descriptor is not listed please use text to describe the culture medium	NA	NA	e.g. minimal defined medium [\[MCO:0000881\]](https://www.ebi.ac.uk/ols4/ontologies/mco/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMCO_0000881?lang=en)	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/), MSI-ECWSG ([Morrison et al. (2007)](https://doi.org/10.1007/s11306-007-0067-1))	NA
animal-associated microbiome	Host metadata	Host name OR host_taxid	Scientific name [\[NCBI taxonomy ID\]](https://www.ncbi.nlm.nih.gov/taxonomy)	NA	NA	e.g. Canis lupus familiaris [\[NCBI:txid9615\]](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9615), Homo sapiens [\[NCBI:txid9606\]](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock)	MSI-ECWSG ([Morrison et al. (2007)](https://doi.org/10.1007/s11306-007-0067-1))	NA
animal-associated microbiome	NA	host_common_name	Common name of the host	NA	NA	e.g. human, dog, cattle	[ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/)	NA
animal-associated microbiome	NA	host_height OR host_length	Height of host or length of host	NA	NA	e.g. 177 cm	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/), [ GSC MIxS: Human-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-associatedMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS: Human-gutMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-gutMIMS/), [ GSC MIxS: Human-oralMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-oralMIMS/), [ GSC MIxS: Human-skinMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-skinMIMS/), [ GSC MIxS: Human-vaginalMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-vaginalMIMS/)	NA
animal-associated microbiome	NA	host_tot_mass	Total mass of host	NA	NA	e.g. 77 kg OR 3568 g	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/), [ GSC MIxS: Human-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-associatedMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS: Human-gutMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-gutMIMS/), [ GSC MIxS: Human-oralMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-oralMIMS/), [ GSC MIxS: Human-skinMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-skinMIMS/), [ GSC MIxS: Human-vaginalMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-vaginalMIMS/)	NA
animal-associated microbiome	NA	host_body_site	Name of body site where the sample was obtained from, such as a specific organ or tissue (tongue, lung etc ). Recomended use of [FMA](https://www.ebi.ac.uk/ols4/ontologies/fma) or [UBERON](https://www.ebi.ac.uk/ols4/ontologies/uberon) ontologies	NA	NA	e.g. gut [\[FMA:45615\]](http://purl.obolibrary.org/obo/FMA_45615) OR gut wall [\[UBERON:0000328\]](http://purl.obolibrary.org/obo/UBERON_0000328)	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/)	NA
animal-associated microbiome	NA	host_age	Age of host at the time of sampling; relevant scale depends on species and study, e.g. Could be seconds for amoebae or centuries for trees	NA	NA	e.g. year, day, hour	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/), [ GSC MIxS Human Associated; ENA Checklist: ERC000014 ](https://www.ebi.ac.uk/ena/browser/view/ERC000014), [ GSC MIxS: Human-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-associatedMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS: Human-gutMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-gutMIMS/), [ GSC MIxS: Human-oralMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-oralMIMS/), [ GSC MIxS: Human-skinMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-skinMIMS/), [ GSC MIxS: Human-vaginalMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-vaginalMIMS/)	NA
animal-associated microbiome	NA	host_sex	Gender and/or physical sex of subject/host	NA	NA	NA	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/), [ GSC MIxS: Human-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-associatedMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS: Human-gutMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-gutMIMS/), [ GSC MIxS: Human-oralMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-oralMIMS/), [ GSC MIxS: Human-skinMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-skinMIMS/), [ GSC MIxS: Human-vaginalMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-vaginalMIMS/)	NA
animal-associated microbiome	Additional potential animal-associated bio/env considerations	Ecosystem Category	Category list	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA	NA	NA
animal-associated microbiome	NA	Ecosystem Type	Type list	NA	NA	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA
animal-associated microbiome	NA	Ecosystem Subtype	Subtype list	NA	NA	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA
animal-associated microbiome	NA	Specific Ecosystem	Specific ecosystem list	NA	NA	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA
animal-associated microbiome	NA	Habitat	Free text	NA	NA	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA
animal-associated microbiome	NA	Means of capture	How was the animal captured/trapped/sampled(e.g. net, stunned, anaesthetized, etc.)	NA	NA	NA	MSI-ECWSG ([Morrison et al. (2007)](https://doi.org/10.1007/s11306-007-0067-1))	NA
