category	NA	metadata	definition	reference of definition\[<url_to_definition>\]	expected unit of measurement	example	sources( where this or similar matadata field is mentioned)	NA
human microbiome	NA	Microbial ID	Taxonomy and/or culture source, if available. Expected_value: [\[NCBI taxonomy ID\]](https://www.ncbi.nlm.nih.gov/taxonomy)	NA	NA	e.g. E. coli [\[NCBI:txid562\]](https://www.ncbi.xyz/Taxonomy/Browser/wwwtax.cgi?id=562)	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/)	NA
human microbiome	NA	Microbial isolate	icrobial isolate cultured?: Y/N	NA	NA	NA	NA	NA
human microbiome	NA	Culture substrate	This field accepts terms listed under culture medium [\[OBI:0000079\]](https://www.ebi.ac.uk/ols4/ontologies/mco/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FOBI_0000079?lang=en). If the proper descriptor is not listed please use text to describe the culture medium	NA	NA	e.g. minimal defined medium [\[MCO:0000881\]](https://www.ebi.ac.uk/ols4/ontologies/mco/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMCO_0000881?lang=en)	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/), MSI-ECWSG ([Morrison et al. (2007)](https://doi.org/10.1007/s11306-007-0067-1))	NA
human microbiome	Host metadata	host_name	Scientific name [\[NCBI taxonomy ID\]](https://www.ncbi.nlm.nih.gov/taxonomy)	e.g. Homo sapiens [\[NCBI:txid9606\]](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock)	[ GSC MIxS: Human-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-associatedMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), MSI-ECWSG ([Morrison et al. (2007)](https://doi.org/10.1007/s11306-007-0067-1))	NA	NA	NA
human microbiome	NA	host_common_name	Common name of the host	NA	NA	e.g. human, dog, cattle	[ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/)	NA
human microbiome	NA	host_height	Height of host	NA	NA	e.g. 177 cm	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/), [ GSC MIxS: Human-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-associatedMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS: Human-gutMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-gutMIMS/), [ GSC MIxS: Human-oralMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-oralMIMS/), [ GSC MIxS: Human-skinMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-skinMIMS/), [ GSC MIxS: Human-vaginalMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-vaginalMIMS/)	NA
human microbiome	NA	host_tot_mass	Total mass of host	NA	NA	e.g. 77 kg OR 3568 g	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/), [ GSC MIxS: Human-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-associatedMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS: Human-gutMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-gutMIMS/), [ GSC MIxS: Human-oralMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-oralMIMS/), [ GSC MIxS: Human-skinMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-skinMIMS/), [ GSC MIxS: Human-vaginalMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-vaginalMIMS/)	NA
human microbiome	NA	host_age	Age of host at the time of sampling; relevant scale depends on study	NA	NA	e.g. year, day, hour	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/), [ GSC MIxS Human Associated; ENA Checklist: ERC000014 ](https://www.ebi.ac.uk/ena/browser/view/ERC000014), [ GSC MIxS: Human-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-associatedMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS: Human-gutMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-gutMIMS/), [ GSC MIxS: Human-oralMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-oralMIMS/), [ GSC MIxS: Human-skinMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-skinMIMS/), [ GSC MIxS: Human-vaginalMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-vaginalMIMS/)	NA
human microbiome	NA	host_sex	Gender and/or physical sex of subject/host	NA	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/), [ GSC MIxS: Human-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-associatedMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS: Human-gutMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-gutMIMS/), [ GSC MIxS: Human-oralMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-oralMIMS/), [ GSC MIxS: Human-skinMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-skinMIMS/), [ GSC MIxS: Human-vaginalMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-vaginalMIMS/)	NA	NA	NA
human microbiome	NA	host_diet	NA	NA	Type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types. Recommended use diet [\[OMIT:0005302\]](http://purl.obolibrary.org/obo/OMIT_0005302) subclasses	NA	NA	e.g. diet, high-fat [\[OMIT:0027565\]](http://purl.obolibrary.org/obo/OMIT_0027565) OR diet, mediterranean [\[OMIT:0022848\]](http://purl.obolibrary.org/obo/ECOCORE_00000019)
human microbiome	NA	host_subject_id	A unique identifier by which each subject can be referred to, de-identified	NA	NA	e.g. s9s8	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/), [ GSC MIxS Human Associated; ENA Checklist: ERC000014 ](https://www.ebi.ac.uk/ena/browser/view/ERC000014), [ GSC MIxS: Human-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-associatedMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS: Human-gutMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-gutMIMS/), [ GSC MIxS: Human-oralMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-oralMIMS/), [ GSC MIxS: Human-skinMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-skinMIMS/), [ GSC MIxS: Human-vaginalMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-vaginalMIMS/)	NA
human microbiome	NA	ethnicity	A category of people who identify with each other, usually on the basis of presumed similarities such as a common language, ancestry, history, society, culture, nation or social treatment within their residing area.	NA	NA	e.g. Slovene OR Turkic	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/), [ GSC MIxS Human Associated; ENA Checklist: ERC000014 ](https://www.ebi.ac.uk/ena/browser/view/ERC000014), [ U.s. Office of Management and Budget (OMB): About the Topic of Race ](https://www.census.gov/topics/population/race/about.html)	NA
human microbiome	NA	smoker	Specification of smoking status	e.g. yes	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/), [ GSC MIxS Human Associated; ENA Checklist: ERC000014 ](https://www.ebi.ac.uk/ena/browser/view/ERC000014), [ GSC MIxS: Human-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-associatedMIMS/), [ GSC MIxS: Human-gutMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-gutMIMS/), [ GSC MIxS: Human-oralMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-oralMIMS/), [ GSC MIxS: Human-skinMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-skinMIMS/), [ GSC MIxS: Human-vaginalMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-vaginalMIMS/)	NA	NA	NA
human microbiome	Additional potential human bio/env considerations	Ecosystem Category	Category list	NA	NA	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA
human microbiome	NA	Ecosystem Type	Type list	NA	NA	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA
human microbiome	NA	Ecosystem Subtype	Subtype list	NA	NA	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA
human microbiome	NA	Specific Ecosystem	Specific ecosystem list	NA	NA	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA
human microbiome	NA	Habitat	Free text	NA	NA	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA
human microbiome	NA	Medical Record Number	NA	NA	Record number (list)	NA	NA	NA
