category	NA	metadata	definition	reference of definition\[<url_to_definition>\]	expected unit of measurement	example	sources( where this or similar matadata field is mentioned)	NA
marine microbiome	NA	Material conditions	Sample material temp, RH, salinity, pH	NA	NA	e.g. 25 degree Celsius, 25 practical salinity unit, pH 7.2	MSI-ECWSG ([Morrison et al. (2007)](https://doi.org/10.1007/s11306-007-0067-1)), [ ENA Tara Oceans; Checklist: ERC000030 ](https://www.ebi.ac.uk/ena/browser/view/ERC000030)	NA
marine microbiome	NA	Microbial ID	Taxonomy and/or culture source, if available. Expected_value: [\[NCBI taxonomy ID\]](https://www.ncbi.nlm.nih.gov/taxonomy)	NA	NA	e.g. Prochlorococcus marinus biovar HNLC1 [\[NCBI:txid1041938\]](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1041938&lvl=3&lin=f&keep=1&srchmode=1&unlock)	[ ENA Marine Microalgae Checklist; Checklist: ERC000043 ](https://www.ebi.ac.uk/ena/browser/view/ERC000043)	NA
marine microbiome	NA	Microbial isolate	Microbial isolate cultured?: Y/N	NA	NA	NA	NA	NA
marine microbiome	NA	Culture substrate	This field accepts terms listed under microbiological culture medium [\[MICRO:0000067\]](https://www.ebi.ac.uk/ols4/ontologies/mco/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMICRO_0000067). If the proper descriptor is not listed please use text to describe the culture medium	NA	NA	e.g. rich medium [\[MCO:0000882\]](https://www.ebi.ac.uk/ols4/ontologies/mco/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMCO_0000882?lang=en)	MSI-ECWSG ([Morrison et al. (2007)](https://doi.org/10.1007/s11306-007-0067-1))	NA
marine microbiome	Host metadata	Host name	Scientific name [\[NCBI taxonomy ID\]](https://www.ncbi.nlm.nih.gov/taxonomy)	NA	NA	e.g. Pocillopora inflata [\[NCBI:txid490833\]](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=490833&lvl=3&lin=f&keep=1&srchmode=1&unlock)	[ GSC MIxS: WaterMIMS ](https://genomicsstandardsconsortium.github.io/mixs/WaterMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS Water; ENA Checklist: ERC000024 ](https://www.ebi.ac.uk/ena/browser/view/ERC000024), MSI-ECWSG ([Morrison et al. (2007)](https://doi.org/10.1007/s11306-007-0067-1))	NA
marine microbiome	NA	host_common_name	Common name of the host	NA	NA	e.g. human, dog, cattle	[ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/)	NA
marine microbiome	NA	host_height OR host_length	Height of host or length of host	NA	NA	e.g. 177 cm	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/), [ GSC MIxS: Human-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-associatedMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS: Human-gutMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-gutMIMS/), [ GSC MIxS: Human-oralMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-oralMIMS/), [ GSC MIxS: Human-skinMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-skinMIMS/), [ GSC MIxS: Human-vaginalMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-vaginalMIMS/)	NA
marine microbiome	NA	host_tot_mass	Total mass of host	NA	NA	e.g. 77 kg OR 3568 g	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/), [ GSC MIxS: Human-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-associatedMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS: Human-gutMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-gutMIMS/), [ GSC MIxS: Human-oralMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-oralMIMS/), [ GSC MIxS: Human-skinMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-skinMIMS/), [ GSC MIxS: Human-vaginalMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Human-vaginalMIMS/)	NA
marine microbiome	NA	host_body_site	Name of body site where the sample was obtained from, such as a specific organ or tissue (tongue, lung etc ). Recommended use of [FMA](https://www.ebi.ac.uk/ols4/ontologies/fma) or [UBERON](https://www.ebi.ac.uk/ols4/ontologies/uberon) ontologies	NA	NA	e.g. gut [\[FMA:45615\]](http://purl.obolibrary.org/obo/FMA_45615) OR gut wall [\[UBERON:0000328\]](http://purl.obolibrary.org/obo/UBERON_0000328)	[ MIMS: Metagenome/Environmental, Human-Associated; Version 6.0 Package ](https://www.ncbi.nlm.nih.gov/biosample/docs/packages/MIMS.me.human-associated.5.0/)	NA
marine microbiome	NA	host_age	Age of host at the time of sampling; relevant scale depends on species and study, e.g. Could be seconds for amoebae or centuries for trees	NA	NA	e.g. year, day, hour	[ GSC MIxS: WaterMIMS ](https://genomicsstandardsconsortium.github.io/mixs/WaterMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS Water; ENA Checklist: ERC000024 ](https://www.ebi.ac.uk/ena/browser/view/ERC000024)	NA
marine microbiome	NA	host_sex	Gender and/or physical sex of subject/host	NA	NA	NA	[ GSC MIxS: WaterMIMS ](https://genomicsstandardsconsortium.github.io/mixs/WaterMIMS/), [ GSC MIxS: Host-associatedMIMS ](https://genomicsstandardsconsortium.github.io/mixs/Host-associatedMIMS/), [ GSC MIxS Water; ENA Checklist: ERC000024 ](https://www.ebi.ac.uk/ena/browser/view/ERC000024)	NA
marine microbiome	Additional potential marine bio/env considerations	Ecosystem Category	Category list	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA	NA	NA	NA
marine microbiome	NA	Ecosystem Type	Type list	NA	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA	NA
marine microbiome	NA	Ecosystem Subtype	Subtype list	NA	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA	NA
marine microbiome	NA	Specific Ecosystem	Specific ecosystem list	NA	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA	NA
marine microbiome	NA	Habitat	Free text	NA	NA	JGI GOLD ([ GOLD Ecosystem Classification Paths ](https://gold.jgi.doe.gov/ecosystem_classification))	NA	NA
